,Store,Algorithm,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,Naive FCST RMSE,R-squared
0,1,Random Forest Regressor,93664.35554787861,16517716812.718449,128521.26988447651,201304.6039720109,0.008932676307280674
1,2,Random Forest Regressor,137498.62276222222,46026087364.71529,214536.91375778502,295436.44385854725,0.5065208241456003
2,3,Random Forest Regressor,30700.552959999983,2313360837.69273,48097.409885488945,57239.87851933867,0.12509020308919883
3,4,Random Forest Regressor,151737.73924555565,64933185418.94561,254819.90781519722,312168.5793158671,0.37048391151974525
4,5,Random Forest Regressor,20593.63344222215,1314204728.1179428,36251.961714063735,48622.481876627455,0.3740470961910307
5,6,Random Forest Regressor,145538.73678666636,43301040839.562996,208089.02142968282,263289.21962110896,0.31430710465590284
6,7,Random Forest Regressor,63458.76648444439,10347825485.01545,101724.26202738189,118261.76878397215,0.4195327284508209
7,8,Random Forest Regressor,72552.97780666668,14124049295.575193,118844.64352916875,135718.23532696196,0.1945102087316366
8,9,Random Forest Regressor,51178.343146666724,6164410490.743357,78513.75988158608,86041.61464247166,0.0695613432401967
9,10,Random Forest Regressor,181606.2343211112,98055761779.38086,313138.5664196936,365561.4813469407,0.3486556235350128
10,11,Random Forest Regressor,104464.91554777736,25259803198.7979,158933.3294145627,203098.9854656108,0.3964335898432788
11,12,Random Forest Regressor,80458.95767888898,17738451612.90828,133185.7785685404,174420.02127223005,0.4310091968665126
12,13,Random Forest Regressor,151923.68492111098,69068778557.41612,262809.39586973697,328372.419723399,0.3720285946642783
13,14,Random Forest Regressor,201075.22850999978,97585883885.77151,312387.39392903086,376285.89613270795,0.33698828875290365
14,15,Random Forest Regressor,81687.6097566668,17570577855.16157,132554.05635121686,148383.3219661863,0.2770701906655827
15,16,Random Forest Regressor,39583.72289888885,4589529225.51262,67746.06428061058,99292.51846298517,0.5741193472846025
16,17,Random Forest Regressor,77684.6866966667,15020774585.258175,122559.26968311363,143348.18263935033,-0.09190789669236521
17,18,Random Forest Regressor,108800.3503611112,27154047708.25643,164784.85278767717,220394.7116490671,0.38024291553062783
18,19,Random Forest Regressor,124028.03831555584,37954351252.39482,194818.76514441523,237213.18695728725,0.3785532631155426
19,20,Random Forest Regressor,153644.4410655553,58364273667.77889,241586.98985619837,350476.867021271,0.5184225036103574
20,21,Random Forest Regressor,74787.59883444445,17683509415.785934,132979.35710397284,155652.87959371984,0.3661089234601157
21,22,Random Forest Regressor,111217.45543777797,28092386317.930683,167607.83489422768,207464.31790896563,0.2904010440354132
22,23,Random Forest Regressor,173693.64806111122,68095978260.560356,260952.06123071793,308916.1105790044,0.23372232086621758
23,24,Random Forest Regressor,90966.49346222219,18136120433.1853,134670.41409747466,212339.34969452996,0.5901580725021426
24,25,Random Forest Regressor,76273.83159999986,15031462254.589947,122602.86397384829,144039.38606739318,0.20001335389833497
25,26,Random Forest Regressor,73117.80968333344,10196615770.792175,100978.29356248883,137326.84035495223,0.37731211136135034
26,27,Random Forest Regressor,156806.25589999993,57350465282.79502,239479.57174422,295742.16415058944,0.2978370176979587
27,28,Random Forest Regressor,127962.2008422222,30548994254.249077,174782.70582139722,239780.78590908565,0.3340239140881517
28,29,Random Forest Regressor,68851.01933333329,11306175046.25306,106330.49913478756,128892.3133822009,0.2643473852753565
29,30,Random Forest Regressor,19299.764040000013,731249139.0663944,27041.618647307238,26823.377032921737,-0.08482088732780646
30,31,Random Forest Regressor,83718.6138999999,17572730587.477547,132562.17630786524,158181.02756508472,0.33860739772455817
31,32,Random Forest Regressor,85681.12087555569,22372935015.490257,149575.85037528703,172688.22525645283,0.24073645513156205
32,33,Random Forest Regressor,15250.535901111034,397107636.1844796,19927.55971473877,29888.556397106007,0.38169685258226327
33,34,Random Forest Regressor,69230.93771666674,15518550551.499289,124573.47451002276,131358.79548913948,0.12426412885783777
34,35,Random Forest Regressor,120093.72612888881,48220276473.47282,219591.15754846053,230276.36294398856,0.27995790462407955
35,36,Random Forest Regressor,16185.870566666612,436815894.1524375,20900.141007955845,37924.874188257665,0.8728185901734881
36,37,Random Forest Regressor,15254.41846888899,593799942.6603847,24368.010642241286,30561.859905910434,-0.006714221709724244
37,38,Random Forest Regressor,17043.182656666675,520737085.23249584,22819.664441715522,35378.78229311479,0.5661477856795045
38,39,Random Forest Regressor,137642.2640566666,49294935895.40323,222024.62902886074,254031.80029427732,0.3191829806636799
39,40,Random Forest Regressor,68521.40048111118,11009202283.768427,104924.74581226503,156889.3283043736,0.4528059747244261
40,41,Random Forest Regressor,109888.74421666673,29391265058.48032,171438.80849586046,228385.42455890207,0.4115707621855297
41,42,Random Forest Regressor,34967.77359111117,2217459076.0657673,47089.90418407928,63157.65544951283,0.06043225406393382
42,43,Random Forest Regressor,32015.393008888816,1673199482.5728161,40904.761123527125,52846.42635264219,0.1467901236988408
43,44,Random Forest Regressor,12360.148378888902,449865171.09381753,21210.02524972136,23792.76033580793,0.3310484267511221
44,45,Random Forest Regressor,76374.04753222236,17488707353.999985,132244.87647542337,165388.71645783013,0.4192718248195957
