,Store,Algorithm,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,Naive FCST RMSE,R-squared
0,1,Random Forest Regressor,90019.04403878817,16127281576.192148,126993.23437172607,201304.6039720109,0.032358892492407976
1,2,Random Forest Regressor,120475.01879444376,37106137957.02985,192629.53552617482,295436.44385854725,0.6021580927990745
2,3,Random Forest Regressor,25735.450683333253,2029707859.7328687,45052.27918466355,57239.87851933867,0.23236735816869936
3,4,Random Forest Regressor,132009.580834444,46349474512.98434,215289.28099880947,312168.5793158671,0.550649799324092
4,5,Random Forest Regressor,20944.39607222218,1109531814.7659507,33309.63546432099,48622.481876627455,0.4715323674753563
5,6,Random Forest Regressor,92003.52537222182,17946922827.125534,133966.1256703557,263289.21962110896,0.7158018089808814
6,7,Random Forest Regressor,54671.97162888877,7935911789.956004,89083.73471041728,118261.76878397215,0.5548304259052891
7,8,Random Forest Regressor,58554.3003977773,8236208441.052754,90753.55883409065,135718.23532696196,0.5302917966942607
8,9,Random Forest Regressor,44665.004128889,4543332894.634944,67404.24982621604,86041.61464247166,0.31424220336322817
9,10,Random Forest Regressor,151257.06922111116,64176498144.03172,253330.807727824,365561.4813469407,0.5737017345153025
10,11,Random Forest Regressor,91361.04160999972,17865888734.237457,133663.34102601753,203098.9854656108,0.5731063206345061
11,12,Random Forest Regressor,68377.19205000001,10826425362.158531,104050.10986134772,174420.02127223005,0.6527241161569814
12,13,Random Forest Regressor,130425.72304777757,46787868837.01799,216305.03655028006,328372.419723399,0.5746060034662241
13,14,Random Forest Regressor,149231.68672555528,58062232753.78604,240961.0606587422,376285.89613270795,0.6055173272604053
14,15,Random Forest Regressor,58175.24541000009,9254054886.415567,96197.99834931894,148383.3219661863,0.6192480298739087
15,16,Random Forest Regressor,40611.47273111096,4141665554.7939825,64355.77328254228,99292.51846298517,0.615678396816935
16,17,Random Forest Regressor,64166.536026666356,10277707935.828985,101379.03104601555,143348.18263935033,0.25288070922498507
17,18,Random Forest Regressor,85570.34581666683,15420850488.761711,124180.71705688331,220394.7116490671,0.6480384272121941
18,19,Random Forest Regressor,105519.40209444436,24614091269.885777,156888.7863101942,237213.18695728725,0.596980419996467
19,20,Random Forest Regressor,143103.31417777712,51656323887.12869,227280.27606268146,350476.867021271,0.5737713918645151
20,21,Random Forest Regressor,56464.111602222285,10016619413.198906,100083.06256904265,155652.87959371984,0.640939730127615
21,22,Random Forest Regressor,86971.11661666672,18732480915.24153,136866.65377381566,207464.31790896563,0.5268273492452428
22,23,Random Forest Regressor,135695.21462444417,45963332020.961044,214390.60618637432,308916.1105790044,0.48277892048910453
23,24,Random Forest Regressor,90829.96510666686,17965523419.41143,134035.5304365653,212339.34969452996,0.5940132414842876
24,25,Random Forest Regressor,54725.31640444444,8678725220.775896,93159.67593747789,144039.38606739318,0.5381111854446232
25,26,Random Forest Regressor,65114.54772777796,7643978608.006168,87429.84963961775,137326.84035495223,0.5331967971321749
26,27,Random Forest Regressor,126489.63519222202,35154464013.65848,187495.23730926734,295742.16415058944,0.5695908800156604
27,28,Random Forest Regressor,116856.76712222247,25306604718.327713,159080.4976052304,239780.78590908565,0.4483093807356351
28,29,Random Forest Regressor,46335.466742222314,5428847638.853536,73680.71415814002,128892.3133822009,0.6467641846932253
29,30,Random Forest Regressor,16952.874725555535,628671112.5190932,25073.31474933247,26823.377032921737,0.06735540914134397
30,31,Random Forest Regressor,70878.1736355555,11042651440.869074,105084.02086363595,158181.02756508472,0.5843828632016016
31,32,Random Forest Regressor,61283.77986000011,9865856521.892717,99327.01808618195,172688.22525645283,0.6651854041148693
32,33,Random Forest Regressor,19207.389205555446,515763920.93353367,22710.436388003065,29888.556397106007,0.1969470577252519
33,34,Random Forest Regressor,57541.13192777787,6775745772.528255,82314.91828659162,131358.79548913948,0.6176341593854859
34,35,Random Forest Regressor,109204.37345666629,41392551398.88458,203451.59473173117,230276.36294398856,0.3819118922181113
35,36,Random Forest Regressor,16763.88545555554,391634851.380689,19789.766329613118,37924.874188257665,0.8859733054530049
36,37,Random Forest Regressor,15094.399852222314,583518708.3390272,24156.131899354812,30561.859905910434,0.010716337076908
37,38,Random Forest Regressor,17518.448666666474,550104160.3926067,23454.299401018285,35378.78229311479,0.5416806007071839
38,39,Random Forest Regressor,112431.59468888883,37266564407.79711,193045.4982842053,254031.80029427732,0.48530795628060963
39,40,Random Forest Regressor,64197.780047777895,8601013063.031076,92741.6468639148,156889.3283043736,0.5725010006995013
40,41,Random Forest Regressor,86356.70214777807,16596479698.727543,128827.32512447638,228385.42455890207,0.6677293787765077
41,42,Random Forest Regressor,44685.6393388888,2919507262.9043674,54032.4648975444,63157.65544951283,-0.2370351668982389
42,43,Random Forest Regressor,34946.95459999991,1911605712.7148137,43721.9134155267,52846.42635264219,0.02522030955085741
43,44,Random Forest Regressor,12763.324031111093,485785862.2017622,22040.550406052982,23792.76033580793,0.2776341942813777
44,45,Random Forest Regressor,60463.9179688887,11840817028.232147,108815.51832451172,165388.71645783013,0.6068150763654022
